Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
215021396,Merbein,46728.893920140814,47663.47179854363,48616.741234514506,49589.076059204795
215021399,Red Cliffs,42773.97419946993,43629.45368345933,44502.04275712852,45392.08361227109
215021469,Mildura - North,44260.682270424135,45145.89591583262,46048.813834149274,46969.79011083226
215021470,Mildura - South,47941.900290193444,48900.73829599731,49878.75306191726,50876.32812315561
215031400,Buloke,41555.12193692851,42386.22437566708,43233.94886318042,44098.62784044403
215031401,Gannawarra,41253.542168039625,42078.61301140042,42920.18527162843,43778.588977060994
215031402,Kerang,44264.98684838335,45150.286585351016,46053.29231705804,46974.3581633992
215031403,Robinvale,33242.972436330034,33907.831885056636,34585.98852275777,35277.70829321293
215031404,Swan Hill,46463.21923290415,47392.48361756223,48340.33328991348,49307.13995571175
215031405,Swan Hill Surrounds,40821.91259688812,41638.35084882588,42471.1178658024,43320.54022311845
216011406,Echuca,47465.97304471732,48415.292505611666,49383.5983557239,50371.27032283838
216011407,Kyabram,45841.46969746813,46758.299091417495,47693.46507324585,48647.334374710765
216011408,Lockington - Gunbower,45257.234629576444,46162.37932216797,47085.62690861133,48027.33944678356
216011409,Rochester,45744.21966857134,46659.10406194277,47592.28614318163,48544.13186604526
216011410,Rushworth,41936.22585974731,42774.95037694226,43630.44938448111,44503.05837217073
216021411,Cobram,42957.763780113324,43816.91905571559,44693.2574368299,45587.1225855665
216021413,Numurkah,44276.99556225552,45162.53547350063,46065.786182970645,46987.10190663006
216021414,Yarrawonga,46378.631961775674,47306.20460101119,48252.32869303141,49217.37526689204
216031415,Mooroopna,46699.26401143498,47633.24929166368,48585.91427749695,49557.63256304689
216031416,Shepparton - North,50107.71894146785,51109.87332029721,52132.07078670315,53174.712202437215
216031418,Shepparton Surrounds - East,46677.93450650254,47611.49319663259,48563.723060565244,49534.99752177655
216031419,Shepparton Surrounds - West,47458.68587667731,48407.85959421085,49376.01678609507,50363.53712181697
217011420,Glenelg (Vic.),45706.61123574061,46620.74346045542,47553.15832966453,48504.22149625782
217011421,Hamilton (Vic.),46707.58504937555,47641.73675036306,48594.571485370325,49566.46291507773
217011422,Portland,50261.67115101738,51266.904574037726,52292.24266551848,53338.087518828856
217011423,Southern Grampians,42209.17838352894,43053.36195119952,43914.42919022351,44792.71777402798
217031471,Camperdown,47265.233843409675,48210.53852027787,49174.74929068343,50158.2442764971
217031472,Colac,46946.20130093854,47885.12532695731,48842.82783349646,49819.684390166396
